
address_id,full_address,building_name,street_number,street_name,street_type,direction,city,met_area,province_or_state,postal_code,country_id,time_stamp
2079,"Northern Alberta Jubilee Auditorium, Edmonton, AB,  BC, T6G 2T2, CA",,,,,,,,BC,T6G 2T2,CA,2025-03-09 18:30:40.025497
1927,"1303 Broad st., Victoria, BC,  BC, V8W 2A8, CA",,,,,,,,BC,V8W 2A8,CA,
1919,"1303 Broad Street, Victoria BC,  BC, V8W 2A8, CA",,,,,,,,BC,V8W 2A8,CA,2025-03-06 17:43:25.014919
1941,"Da Vinci Centre, Victoria, BC,  BC, V9A 3K4, CA",,,,,,,,BC,V9A 3K4,CA,
61,"3800 Finnerty RD, VICTORIA, BC, V8P5C2, CA",,3800,Finnerty,RD,,VICTORIA,,BC,V8P5C2,CA,2025-03-09 17:06:47.374313
1942,"Les Passmore Centre,  BC, V8Z 1H3, CA",,,,,,,,BC,V8Z 1H3,CA,2025-03-09 19:56:54.920318
1837,"Victoria, BC, Victoria, BC, CA",,,,,,Victoria,,BC,,CA,2025-03-09 17:49:38.431707
20,"400 Newcastle AVE, NANAIMO, BC, V9S4J1, CA",,400,Newcastle,AVE,,NANAIMO,,BC,V9S 4J1,CA,
13,"Mary Winspear Theatre,  BC, V8L 1W9, CA",,,,,,Sidney,,BC,V8L 1W9,CA,2025-03-06 15:43:52.523713
1921,"1303 Broad Street, Victoria,  BC, V8W 2A8, CA",,,,,,,,BC,V8W 2A8,CA,2025-03-09 18:30:03.428207
922,"3255 Harriet RD, VICTORIA, BC, V8Z3S3, CA",,3255,Harriet,RD,,VICTORIA,,BC,V8Z3S3,CA,2025-03-09 17:12:21.171051
8,"Bowen Park, Nanaimo,  BC, V9R 1Z7, CA",,,,,,Nanaimo,,BC,V9R 1Z7,CA,2025-03-06 15:43:51.562704
1974,"Centennial United Church Dance Studio, Victoria British Columbia,  BC, V8T 2E1, CA",,,,,,,,BC,V8T 2E1,CA,2025-03-09 19:45:33.395014
923,"475 Gorge RD E, VICTORIA, BC, V8T2W1, CA",,475,Gorge,RD,,Victoria,,BC,V8T 2W1,CA,
1783,"The Coda at 751 View/Blanshard, 751 View St,  BC, V8W 1J9, CA",,,,,,Victoria,,BC,V8W 1J9,CA,
2078,"The Centre in Vancouver For Performing Arts, Vancouver, BC,  BC, V6B 2W1, CA",,,,,,,,BC,V6B 2W1,CA,2025-03-09 18:30:39.822848
1962,"Da Vinci Centre, 195 Bay St, Victoria, BC V9A 3K4,  BC, V9A3K4, CA",,,,,,,,BC,V9A3K4,CA,2025-03-09 18:24:35.221543
1838,"Ukrainian Cultural Centre, 3277 Douglas Street, Victoria, British Columbia, Canada,  BC, V8Z 3K9, CA",,,,,,Victoria,,BC,V8Z 3K9,CA,
24,"1911 Chambers ST, VICTORIA, BC, V8T3K5, CA",,1911,Chambers,ST,,Victoria,,BC,V8T3K5,CA,
2139,"612 David ST, VICTORIA, BC, V8T2E1, CA",,612,David,ST,,VICTORIA,,BC,V8T2E1,CA,2025-03-07 09:35:44.818299
60,"1022 Government ST, VICTORIA, BC, V8W1X7, CA",,1022,Government,ST,,VICTORIA,,BC,V8W1X7,CA,2025-03-09 17:06:47.367514
2102,"Ukrainian Cultural Centre, 3277 Douglas Street, Victoria, British Columbia,  BC, V8Z 3K9, CA",,,,,,,,BC,V8Z 3K9,CA,2025-03-09 21:27:12.239508
2091,"Cameron Band Shell, Beacon Hill Park, Circle Drive, Victoria,  BC, V8V 2P2, CA",,,,,,,,BC,V8V 2P2,CA,
56,"Les Passmore / Silver Threads, Saanich,  BC, V8Z 1H3, CA",Les Passmore,,,,,Saanich,,BC,V8Z 1H3,CA,2025-03-09 17:01:23.858737
1928,"Solwood Studio @1303 Broad Street,  BC, V8W 2A8, CA",Solwood Studio,1303,Broad,Street,,Victoria,,BC,V8W 2A8,CA,2025-03-09 18:11:06.319661
1971,"Les Passmore Centre, Victoria British Columbia,  BC, V8Z 1H3, CA",Les Passmore Centre,,,,,Victoria,,BC,V8Z 1H3,CA,2025-03-09 19:45:33.823057
861,"STUDIO 4 ATHLETICS, 715 YATES ST,  BC, V8W 1L6, CA",STUDIO 4 ATHLETICS,715,YATES,ST,,,,BC,V8W 1L6,CA,2025-03-09 17:16:51.481494
15,"Eastern Star Hall, 3281 Harriet Road,  BC, V8Z 3S3, CA",Eastern Star Hall,3281,Harriet,Road,,,,BC,V8Z 3S3,CA,
16,"Propat Legion, 411 Gorge Road East,  BC, V8T 2W1, CA",Propat Legion,411,Gorge,Road,East,,,BC,V8T 2W1,CA,
18,"Kirk Hall, 680 Courtney Street,  BC, V8W 1C1, CA",Kirk Hall,680,Courtney,Street,,,,BC,V8W 1C1,CA,
17,"Dance Victoria Studios, 2750 Quadra Street,  BC, V8T 4E8, CA",Dance Victoria Studios,2750,Quadra,Street,,,,BC,V8T 4E8,CA,
22,"Eden West Gourmet, 96 Kyle Street, Port Moody,BC V3H 1Z3,  BC, V3H1Z3, CA",Eden West Gourmet,96,Kyle,Street,,Port Moody,,BC,V3H1Z3,CA,
1970,"Da Vinci Centre, Victoria,  BC, V9A 3K4, CA",Da Vinci Centre,,,,,Victoria,,BC,V9A 3K4,CA,2025-03-09 18:24:07.166304
21,"728 Kingsway, VANCOUVER, BC, V5V3C1, CA",,728,Kingsway,,,Vancouver,,BC,V5V 3C1,CA,
4948,"Method Studio, 841 Fisgard St,  BC, V8W 1R9, CA",Method Studio,841,Fisgard,St,,,,BC,V8W 1R9,CA,2025-03-07 11:52:59.045892
1917,"Norway House, Norway House, BC, R0B 1B0, CA",Norway House,,,,,Norway House,,BC,R0B 1B0,CA,2025-03-09 18:22:58.870609
69,"108 Niagara ST, VICTORIA, BC, V8V1E9, CA",,108,Niagara,ST,,Victoria,,BC,V8V1E9,CA,2025-03-09 17:16:51.570274
1808,"Confederation Centre, North Burnaby,  BC, V5C 2G5, CA",Confederation Centre,,,,,North Burnaby,,BC,V5C 2G5,CA,2025-03-09 17:40:34.328156
55,"Victoria Edelweiss Club,  BC, V8V 1E9, CA",Victoria Edelweiss Club,,,,,Victoria,,BC,V8V 1E9,CA,2025-03-09 16:13:45.430715
1914,"Mannie Method Studio, 841 Fisgard Street, Victoria, British Columbia, Canada,  BC, V8W 1R9, CA",Mannie Method Studio,841,Fisgard,Street,,Victoria,,BC,V8W 1R9,CA,2025-03-06 18:39:05.573255
921,"Eastern Star Hall, 3281 Harriet Rd, Victoria, BC,  BC, V8Z 3S3, CA",Eastern Star Hall,3281,Harriet,Rd,,Victoria,,BC,V8Z 3S3,CA,2025-03-09 17:06:21.540090
1836,"Victoria, British Columbia, Victoria, BC, CA",,,,,,Victoria,,BC,,CA,2025-03-09 17:46:14.176670
65,"725 Yates ST, VICTORIA, BC, V8W1L6, CA",,725,Yates,ST,,Victoria,,BC,V8W1L6,CA,2025-03-09 17:16:51.549661
1146,"Garry Oak Room of the Fairfield Community Centre, 1335 Thurlow Rd.,  BC, V8S 5K2, CA",Garry Oak Room,1335,Thurlow,Rd.,,,,BC,V8S 5K2,CA,2025-03-09 17:20:48.782589
7,"Victoria Edelweiss Club, 108 Niagara St,  BC, V8V 1E9, CA",Victoria Edelweiss Club,108,Niagara,St,,,,BC,V8V 1E9,CA,2025-03-09 16:33:33.727082
14,"Beban Park, Nanaimo,  BC, V9T 3K7, CA",Beban Park,,,,,Nanaimo,,BC,V9T 3K7,CA,2025-03-09 16:33:34.150545
6,"Eastern Star Hall, 3281 Harriet Rd,  BC, V8Z 3S3, CA",Eastern Star Hall,3281,Harriet,Rd,,,,BC,V8Z 3S3,CA,2025-03-09 16:33:33.541404
1782,"The Coda (formerly Hermann’s Upstairs Victoria), Victoria, BC,  BC, V8W 1J9, CA",The Coda,,,,,Victoria,,BC,V8W 1J9,CA,
54,"Saanich Commonwealth Place,  BC, V8Z 5M1, CA",Saanich Commonwealth Place,,,,,,,BC,V8Z 5M1,CA,2025-03-09 17:01:23.658670
12,"Les Passmore Centre, 286 Hampton Rd,  BC, V8Z 1H3, CA",Les Passmore Centre,286,Hampton,Rd,,,,BC,V8Z 1H3,CA,2025-03-09 16:33:33.018770
1918,"1303 Broad Street, Victoria, BC,  BC, V8W 2A8, CA",,1303,Broad,Street,,Victoria,,BC,V8W 2A8,CA,
25,"8888 University DR E, BURNABY, BC, V5A1S6, CA",,8888,University,DR,E,Burnaby,,BC,V5A 1S6,CA,
59,"3264 Irma ST, VICTORIA, BC, V8Z3R8, CA",,3264,Irma,ST,,Victoria,,BC,V8Z3R8,CA,2025-03-09 17:06:47.361235
1144,"Salsa Moderna, Victoria, Victoria, BC, CA",Salsa Moderna,,,,,Victoria,,BC,,CA,2025-03-09 17:16:28.335595
1804,"Bonsor Recreation Centre in Burnaby (6550 Bonsor Ave),  BC, V5H 4P6, CA",Bonsor Recreation Centre,6550,Bonsor,Ave,,Burnaby,,BC,V5H 4P6,CA,2025-03-09 17:37:00.445952
1828,"Confederation Centre, Burnaby,  BC, V5C 2G5, CA",Confederation Centre,,,,,Burnaby,,BC,V5C 2G5,CA,
2094,"LevelTwo Nightclub, 170 Skinner Street, Nanaimo, British Columbia,  BC, V9R 7A6, CA",,,,,,,,BC,V9R 7A6,CA,
2400,"Dance Victoria (2750 Quadra St, just north of Hillside),  BC, V8T 4E8, CA",,,,,,,,BC,V8T 4E8,CA,2025-03-09 17:06:12.068404
2097,"Ukrainian Cultural Centre, 3277 Douglas Street, Victoria,  BC, V8Z 3K9, CA",,,,,,,,BC,V8Z 3K9,CA,
2423,"City Light Church, 550 Obed Ave,  BC, V9A 1K5, CA",,,,,,,,BC,V9A 1K5,CA,2025-03-09 17:04:58.429696
2103,"GARRY OAK ROOM, Fairfield Community Centre, 1335 Thurlow Rd, Victoria, British Columbia,  BC, V8S 5K2, CA",,,,,,,,BC,V8S 5K2,CA,
2868,"James Bay, 111 Superior Street,  BC, V8V 1T2, CA",,,,,,Victoria,,BC,V8V 1T2,CA,2025-03-06 16:15:51.430425
2112,"2474 Prince Edward St, Vancouver, BC, Canada, British Columbia V5T 1W8,  BC, V5T1W8, CA",,,,,,,,BC,V5T1W8,CA,
2114,"The Wise Hall & Lounge, 1882 Adanac Street, Vancouver, British Columbia,  BC, V5L 2E2, CA",,,,,,,,BC,V5L 2E2,CA,2025-03-09 21:20:21.404891
2116,"The Duke Saloon, 502 Discovery Street, Victoria, British Columbia,  BC, V8T 1G8, CA",,,,,,,,BC,V8T 1G8,CA,2025-03-09 21:32:20.881988
2120,"Victoria Event Centre, 1415 Broad St, Victoria, British Columbia,  BC, V8W 2B2, CA",,,,,,,,BC,V8W 2B2,CA,2025-03-07 09:16:45.602244
2130,"3 8th AVE W, VANCOUVER, BC, V5Y1M8, CA",,3,8th,AVE,,VANCOUVER,,BC,V5Y1M8,CA,
2135,"Baza Dance Studios - 1309 Seymour St, Vancouver, British Columbia,  BC, V6B 3P3, CA",,,,,,,,BC,V6B 3P3,CA,
2129,"3922 Corunna AVE, NANAIMO, BC, V9T3J7, CA",,3922,Corunna,AVE,,NANAIMO,,BC,V9T3J7,CA,2025-03-07 09:22:16.972835
2138,"Da Vinci Event Centre 195 Bay St, Victoria, BC,  BC, V9A 3K4, CA",,,,,,,,BC,V9A 3K4,CA,
2083,"704 Douglas ST, VICTORIA, BC, V8W3M6, CA",,704,Douglas,ST,,Victoria,,BC,V8W 2B4,CA,
3386,"Victoria, Victoria, BC, CA",,,,,,Victoria,,BC,,CA,2025-03-07 09:36:18.866527
2392,"Dance Victoria,  BC, V8T 4E8, CA",,,,,,,,BC,V8T 4E8,CA,2025-03-09 17:05:08.143277
4000,"Confederation Centre Ballroom, North Burnaby,  BC, V5C 2G5, CA",,,,,,,,BC,V5C 2G5,CA,2025-03-06 16:46:51.686411
